lineid,pointid,theOrder,dist,row,newid,591demorigi,xcoord,ycoord
"1","380",0.5307139960,0.8379281242,"4","1014",750.2860107400,345395,7398555
"1","5631",0.5303115128,1.6563262461,"47","1013",783.5260009800,348605,7395495
"1","3278",0.5299568462,1.3532112759,"30","1012",766.0009765600,347415,7397475
"1","1514",0.5295133820,1.7807802423,"15","1011",768.5729980500,346255,7398415
"1","6620",0.5293106978,2.7908500534,"55","1010",783.2260131800,348805,7395955
"1","1037",0.5289936934,0.4565112455,"10","1009",754.6909790000,346005,7398275
"1","2857",0.5287575371,3.5209385384,"26","1008",760.5540161100,347195,7398205
"1","6945",0.5351512166,1.9900527006,"57","1023",788.3389892600,348855,7396475
"1","870",0.5347979543,0.5701038709,"9","1022",758.2479858400,345735,7397965
"1","6796",0.5333730296,1.0317044278,"56","1021",791.7130127000,348985,7396335
"1","4877",0.5331050814,0.3707118170,"43","1020",772.7830200200,348035,7396515
"1","2190",0.5319152517,0.1492481820,"20","1019",765.3229980500,346675,7398315
"1","650",0.5318185271,0.7788935895,"6","1018",756.0369873000,345735,7398425
"1","6228",0.5317719541,0.0000000000,"52","1017",783.0000000000,348305,7396105
"1","1702",0.5311998193,2.5873313318,"16","1016",757.7570190400,346465,7398215
"1","2854",0.5041790537,1.1661116745,"26","967",760.9890136700,347195,7398215
"1","2430",0.5040986512,1.2531366474,"23","966",761.4810180700,346955,7398345
"1","107",0.5037517933,1.2051998252,"1","965",755.6890258800,345135,7398105
"1","5621",0.5032377482,0.1732516161,"47","964",783.7440185500,348585,7395475
"1","4870",0.5029462200,0.2846881682,"43","963",773.0440063500,348015,7396515
"1","3923",0.5018393926,0.9907449943,"34","962",772.8330078100,347635,7396875
"1","3026",0.5013919665,2.8321777207,"28","961",764.7329711900,347345,7398155
"1","6614",0.5012481600,0.5655748534,"55","960",784.7639770500,348825,7395955
"1","3820",0.5100124675,1.8366500568,"33","975",775.5980224600,347625,7397055
"1","4086",0.5099856575,0.2111014915,"36","974",768.5830078100,347795,7397835
"1","5622",0.5098886568,0.4938571256,"47","973",783.5529785200,348595,7395475
"1","5202",0.5088907928,0.2208509471,"45","972",769.1929931600,348145,7397565
"1","1955",0.5066713815,0.0835869903,"19","971",764.2299804700,346525,7397615
"1","3581",0.5053014050,0.6715924114,"31","970",763.9530029300,347575,7398105
"1","1510",0.5045552456,0.8407294173,"15","969",767.6110229500,346265,7398425
"1","646",0.5043536252,0.0882264491,"6","968",756.5850219700,345725,7398435
"1","6619",0.5144190636,1.8836024981,"55","983",784.0969848600,348815,7395955
"1","1033",0.5138935515,0.6571357305,"10","982",755.8319702100,346005,7398285
"1","5349",0.5138782237,0.6094552873,"46","981",773.6489868200,348275,7397405
"1","379",0.5137066144,1.2161575245,"4","980",749.6589965800,345405,7398555
"1","4540",0.5128824819,0.0890944208,"40","979",769.7119751000,347915,7397565
"1","2627",0.5127772490,2.0054216136,"24","978",768.9609985400,347025,7397765
"1","1700",0.5111855369,0.4920139366,"16","977",758.0349731400,346465,7398225
"1","5907",0.5106573601,0.6075688004,"48","976",773.7050170900,348475,7396715
"1","1509",0.5172503196,0.0389006801,"15","991",768.1190185500,346255,7398425
"1","5626",0.5172461114,0.3260475084,"47","990",783.6259765600,348595,7395485
"1","6789",0.5169680821,1.0317023882,"56","989",792.3679809600,348995,7396335
"1","2187",0.5164543009,0.3684037256,"20","988",765.3750000000,346675,7398325
"1","1958",0.5163333196,0.0835890665,"19","987",763.7789917000,346525,7397625
"1","6942",0.5158004992,0.4536451379,"57","986",789.1220092800,348855,7396485
"1","6229",0.5157178574,0.0000000000,"52","985",784.3530273400,348305,7396095
